id,symbol,name,rank,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,change_7d_pct,ath,atl,last_updated
bitcoin,BTC,Bitcoin,1,80861,1623867574525,40250198941,3.9633,1.2,126080,67.81,2026-09-04T04:09:20.000Z
ethereum,ETH,Ethereum,2,2503.07,305490790913,16812357614,4.04922,0.6,4946.05,0.432979,2026-09-04T04:09:20.000Z
tether,USDT,Tether,3,0.999948,183373901948,70366290201,0.02614,0.0,1.32,0.572521,2026-09-04T04:09:20.000Z
binancecoin,BNB,BNB,4,723.77,96392984714,1232358598,4.32939,2.3,1369.99,0.0398177,2026-09-04T04:09:20.000Z
ripple,XRP,XRP,5,1.44,90637400452,4051322938,5.51294,0.9,3.65,0.00268621,2026-09-04T04:09:20.000Z
usd-coin,USDC,USDC,6,0.999877,74326646837,19792755880,0.00735,0.0,1.043,0.877647,2026-09-04T04:09:20.000Z
solana,SOL,Solana,7,103.62,60670683422,4112688456,2.98986,-2.6,293.31,0.500801,2026-09-04T04:09:20.000Z
tron,TRX,TRON,8,0.329329,31265616219,410915863,1.07145,-2.6,0.431288,0.00180434,2026-09-04T04:09:20.000Z
figure-heloc,FIGR_HELOC,Figure Heloc,9,1.032,22911340865,354140644,1.91592,1.3,1.061,0.155357,2026-09-04T04:09:20.000Z
hyperliquid,HYPE,Hyperliquid,10,86.93,19343599629,1674412721,5.47138,4.6,88.06,3.81,2026-09-04T04:09:20.000Z
zcash,ZEC,Zcash,11,948.95,16040168559,1010780953,15.4168,20.3,3191.93,16.08,2026-09-04T04:09:20.000Z
dogecoin,DOGE,Dogecoin,12,0.087105,13572005213,1014913230,5.0187,-0.8,0.731578,8.69e-05,2026-09-04T04:09:20.000Z
rain,RAIN,Rain,13,0.01709722,12123529771,39875635,2.23539,-0.9,0.01946402,0.00222126,2026-09-04T04:09:20.000Z
usds,USDS,USDS,14,0.999913,9791767684,179599998,0.00493,0.0,1.057,0.948265,2026-09-04T04:09:20.000Z
monero,XMR,Monero,15,501.18,9411858022,127502977,-1.54002,8.5,797.73,0.216177,2026-09-04T04:09:20.000Z
chainlink,LINK,Chainlink,16,11.87,8886223700,485616820,5.77915,1.3,52.7,0.148183,2026-09-04T04:09:20.000Z
whitebit,WBT,WhiteBIT Coin,17,73.8,8706395346,118422983,3.66784,0.3,74.97,3.06,2026-09-04T04:09:20.000Z
leo-token,LEO,LEO Token,18,9.31,8565830036,429725,0.65927,-1.7,10.61,0.799859,2026-09-04T04:09:20.000Z
cardano,ADA,Cardano,19,0.222963,8367036657,692172530,8.56746,6.8,3.09,0.01925275,2026-09-04T04:09:20.000Z
stellar,XLM,Stellar,20,0.183057,6356042072,151667268,3.00958,-0.5,0.875563,0.00047612,2026-09-04T04:09:20.000Z
bitcoin-cash,BCH,Bitcoin Cash,21,255.56,5132241360,172635317,3.17561,-3.4,3785.82,76.93,2026-09-04T04:09:20.000Z
dai,DAI,Dai,22,0.999866,4590683752,348025014,0.00509,0.0,1.22,0.88196,2026-09-04T04:09:20.000Z
canton-network,CC,Canton,23,0.111782,4413189894,10785678,0.03506,0.0,0.194152,0.059024,2026-09-04T04:09:20.000Z
ethena-usde,USDE,Ethena USDe,24,0.999754,4271324272,85648310,0.0289,0.0,1.034,0.929486,2026-09-04T04:09:20.000Z
usd1-wlfi,USD1,USD1,25,0.999646,4218840856,1499926049,0.02924,0.0,1.048,0.988762,2026-09-04T04:09:20.000Z
litecoin,LTC,Litecoin,26,51.08,3962282918,254271751,1.68798,3.5,410.26,1.15,2026-09-04T04:09:20.000Z
uniswap,UNI,Uniswap,27,6.29,3923437278,1032238206,10.00545,37.6,44.92,1.03,2026-09-04T04:09:20.000Z
the-open-network,GRAM,Gram (prev. Toncoin),28,1.37,3821491854,41588171,2.78593,-1.4,8.25,0.519364,2026-09-04T04:09:20.000Z
hedera-hashgraph,HBAR,Hedera,29,0.078204,3427729972,70526458,3.06495,0.3,0.569229,0.00986111,2026-09-04T04:09:20.000Z
global-dollar,USDG,Global Dollar,30,1.0,3247545997,1834134510,-0.00381,0.0,1.65,0.907561,2026-09-04T04:09:20.000Z
avalanche-2,AVAX,Avalanche,31,7.5,3236332715,254106124,3.02001,0.8,144.96,2.8,2026-09-04T04:09:20.000Z
sui,SUI,Sui,32,0.770949,3159104914,584877069,0.35775,0.8,5.35,0.364846,2026-09-04T04:09:20.000Z
shiba-inu,SHIB,Shiba Inu,33,5.35e-06,3151814974,83138663,2.53724,0.8,8.616e-05,5.6366e-11,2026-09-04T04:09:20.000Z
paypal-usd,PYUSD,PayPal USD,34,1.0,3026426848,128087935,0.00772,0.0,1.021,0.959426,2026-09-04T04:09:20.000Z
crypto-com-chain,CRO,Cronos,35,0.05784,2807423067,9032175,6.49123,-1.3,0.891544,0.0121196,2026-09-04T04:09:20.000Z
